yearID,name,teamID,W,L,salary,cost_per_win
1985,Atlanta Braves,ATL,66,96,14807000,224348.48484848486
1985,Baltimore Orioles,BAL,83,78,11560712,139285.68674698795
1985,Boston Red Sox,BOS,81,81,10897560,134537.77777777778
1985,California Angels,CAL,90,72,14427894,160309.93333333332
1985,Chicago White Sox,CHA,85,77,9846178,115837.38823529411
1985,Chicago Cubs,CHN,77,84,12702917,164972.94805194804
1985,Cincinnati Reds,CIN,89,72,8359917,93931.65168539326
1985,Cleveland Indians,CLE,60,102,6551666,109194.43333333333
1985,Detroit Tigers,DET,84,77,10348143,123192.17857142857
1985,Houston Astros,HOU,83,79,9993051,120398.2048192771
1985,Kansas City Royals,KCA,91,71,9321179,102430.53846153847
1985,Los Angeles Dodgers,LAN,95,67,10967917,115451.75789473685
1985,Minnesota Twins,MIN,77,85,5764821,74867.8051948052
1985,Milwaukee Brewers,ML4,71,90,11284107,158931.08450704225
1985,Montreal Expos,MON,84,77,9470166,112740.07142857143
1985,New York Yankees,NYA,97,64,14238204,146785.60824742267
1985,New York Mets,NYN,98,64,10834762,110558.79591836735
1985,Oakland Athletics,OAK,77,85,9058606,117644.23376623377
1985,Philadelphia Phillies,PHI,75,87,10124966,134999.54666666666
1985,Pittsburgh Pirates,PIT,57,104,9227500,161885.9649122807
1985,San Diego Padres,SDN,83,79,11036583,132970.8795180723
1985,Seattle Mariners,SEA,74,88,4613000,62337.83783783784
1985,San Francisco Giants,SFN,62,100,8221714,132608.29032258064
1985,St. Louis Cardinals,SLN,101,61,11817083,117000.82178217822
1985,Texas Rangers,TEX,62,99,7676500,123814.51612903226
1985,Toronto Blue Jays,TOR,99,62,8812550,89015.65656565657
1986,Atlanta Braves,ATL,72,89,17102786,237538.69444444444
1986,Baltimore Orioles,BAL,73,89,13001258,178099.42465753425
1986,Boston Red Sox,BOS,95,66,14402239,151602.5157894737
1986,California Angels,CAL,92,70,14427258,156818.02173913043
1986,Chicago White Sox,CHA,72,90,10418819,144705.81944444444
1986,Chicago Cubs,CHN,70,90,17208165,245830.92857142858
1986,Cincinnati Reds,CIN,86,76,11906388,138446.37209302327
1986,Cleveland Indians,CLE,84,78,7809500,92970.23809523809
1986,Detroit Tigers,DET,87,75,12335714,141789.816091954
1986,Houston Astros,HOU,96,66,9873276,102846.625
1986,Kansas City Royals,KCA,76,86,13043698,171627.6052631579
1986,Los Angeles Dodgers,LAN,73,89,14913776,204298.301369863
1986,Minnesota Twins,MIN,71,91,8748167,123213.61971830986
1986,Milwaukee Brewers,ML4,77,84,9943642,129138.20779220779
1986,Montreal Expos,MON,78,83,11103600,142353.84615384616
1986,New York Yankees,NYA,90,72,18494253,205491.7
1986,New York Mets,NYN,108,54,15393714,142534.38888888888
1986,Oakland Athletics,OAK,76,86,9779421,128676.59210526316
1986,Philadelphia Phillies,PHI,86,75,11590166,134769.37209302327
1986,Pittsburgh Pirates,PIT,64,98,10843500,169429.6875
1986,San Diego Padres,SDN,74,88,11380693,153793.14864864864
1986,Seattle Mariners,SEA,67,95,5958309,88929.98507462686
1986,San Francisco Giants,SFN,83,79,8947000,107795.18072289157
1986,St. Louis Cardinals,SLN,79,82,9875010,125000.12658227848
1986,Texas Rangers,TEX,87,75,6743119,77507.11494252873
1986,Toronto Blue Jays,TOR,86,76,12611047,146640.08139534883
1987,Atlanta Braves,ATL,69,92,16544560,239776.23188405798
1987,Baltimore Orioles,BAL,67,95,13900273,207466.76119402985
1987,Boston Red Sox,BOS,78,84,10144167,130053.42307692308
1987,California Angels,CAL,75,87,12843499,171246.65333333332
1987,Chicago White Sox,CHA,77,85,10641843,138205.75324675324
1987,Chicago Cubs,CHN,76,85,14307999,188263.1447368421
1987,Cincinnati Reds,CIN,84,78,9281500,110494.04761904762
1987,Cleveland Indians,CLE,61,101,8513750,139569.67213114753
1987,Detroit Tigers,DET,98,64,12122881,123702.86734693877
1987,Houston Astros,HOU,76,86,12608371,165899.61842105264
1987,Kansas City Royals,KCA,83,79,11828056,142506.6987951807
1987,Los Angeles Dodgers,LAN,73,89,13675403,187334.2876712329
1987,Minnesota Twins,MIN,85,77,6397500,75264.70588235294
1987,Milwaukee Brewers,ML4,91,71,7293224,80145.31868131868
1987,Montreal Expos,MON,91,71,6942052,76286.28571428571
1987,New York Yankees,NYA,89,73,17099714,192131.61797752808
1987,New York Mets,NYN,92,70,13846714,150507.76086956522
1987,Oakland Athletics,OAK,81,81,11680839,144207.88888888888
1987,Philadelphia Phillies,PHI,80,82,11514233,143927.9125
1987,Pittsburgh Pirates,PIT,80,82,7652000,95650.0
1987,San Diego Padres,SDN,65,97,11065796,170243.0153846154
1987,Seattle Mariners,SEA,78,84,2263500,29019.23076923077
1987,San Francisco Giants,SFN,90,72,7290000,81000.0
1987,St. Louis Cardinals,SLN,95,67,11758000,123768.42105263157
1987,Texas Rangers,TEX,75,87,880000,11733.333333333334
1987,Toronto Blue Jays,TOR,96,66,10479501,109161.46875
1988,Atlanta Braves,ATL,54,106,12728174,235706.92592592593
1988,Baltimore Orioles,BAL,54,107,13532075,250593.9814814815
1988,Boston Red Sox,BOS,89,73,13896092,156135.8651685393
1988,California Angels,CAL,75,87,11947388,159298.50666666665
1988,Chicago White Sox,CHA,71,90,6390000,90000.0
1988,Chicago Cubs,CHN,77,85,13119198,170379.1948051948
1988,Cincinnati Reds,CIN,87,74,8888409,102165.62068965517
1988,Cleveland Indians,CLE,78,84,8936500,114570.51282051283
1988,Detroit Tigers,DET,88,74,12869571,146245.125
1988,Houston Astros,HOU,82,80,12286167,149831.30487804877
1988,Kansas City Royals,KCA,84,77,14556562,173292.40476190476
1988,Los Angeles Dodgers,LAN,94,67,16850515,179260.79787234042
1988,Minnesota Twins,MIN,91,71,12462666,136952.37362637362
1988,Milwaukee Brewers,ML4,87,75,8402000,96574.71264367815
1988,Montreal Expos,MON,81,81,9603333,118559.66666666667
1988,New York Yankees,NYA,85,76,19441152,228719.43529411763
1988,New York Mets,NYN,100,60,15269314,152693.14
1988,Oakland Athletics,OAK,104,58,9690000,93173.07692307692
1988,Philadelphia Phillies,PHI,65,96,13838000,212892.3076923077
1988,Pittsburgh Pirates,PIT,85,75,5998500,70570.58823529411
1988,San Diego Padres,SDN,83,78,9561002,115192.7951807229
1988,Seattle Mariners,SEA,68,93,7342450,107977.20588235294
1988,San Francisco Giants,SFN,83,79,12380000,149156.6265060241
1988,St. Louis Cardinals,SLN,76,86,12880000,169473.68421052632
1988,Texas Rangers,TEX,70,91,5342131,76316.15714285715
1988,Toronto Blue Jays,TOR,87,75,12241225,140703.7356321839
1989,Atlanta Braves,ATL,63,97,11112334,176386.25396825396
1989,Baltimore Orioles,BAL,87,75,8275167,95116.86206896552
1989,Boston Red Sox,BOS,83,79,17481748,210623.46987951806
