yearID,name,teamID,franchID,W,L,H,HR,BB,SO,SB,CS,ERA,SOA,salary
1985,Atlanta Braves,ATL,ATL,66,96,1359,126,553.0,849.0,72.0,52.0,4.19,776,14807000
1985,Baltimore Orioles,BAL,BAL,83,78,1451,214,604.0,908.0,69.0,43.0,4.38,793,11560712
1985,Boston Red Sox,BOS,BOS,81,81,1615,162,562.0,816.0,66.0,27.0,4.06,913,10897560
1985,California Angels,CAL,ANA,90,72,1364,153,648.0,902.0,106.0,51.0,3.91,767,14427894
1985,Chicago White Sox,CHA,CHW,85,77,1386,146,471.0,843.0,108.0,56.0,4.07,1023,9846178
1985,Chicago Cubs,CHN,CHC,77,84,1397,150,562.0,937.0,182.0,49.0,4.16,820,12702917
1985,Cincinnati Reds,CIN,CIN,89,72,1385,114,576.0,856.0,159.0,70.0,3.71,910,8359917
1985,Cleveland Indians,CLE,CLE,60,102,1465,116,492.0,817.0,132.0,72.0,4.91,702,6551666
1985,Detroit Tigers,DET,DET,84,77,1413,202,526.0,926.0,75.0,41.0,3.78,943,10348143
1985,Houston Astros,HOU,HOU,83,79,1457,121,477.0,873.0,96.0,56.0,3.66,909,9993051
1985,Kansas City Royals,KCA,KCR,91,71,1384,154,473.0,840.0,128.0,48.0,3.49,846,9321179
1985,Los Angeles Dodgers,LAN,LAD,95,67,1434,129,539.0,846.0,136.0,58.0,2.96,979,10967917
1985,Minnesota Twins,MIN,MIN,77,85,1453,141,502.0,779.0,68.0,44.0,4.48,767,5764821
1985,Milwaukee Brewers,ML4,MIL,71,90,1467,101,462.0,746.0,69.0,34.0,4.39,777,11284107
1985,Montreal Expos,MON,WSN,84,77,1342,118,492.0,880.0,169.0,77.0,3.55,870,9470166
1985,New York Yankees,NYA,NYY,97,64,1458,176,620.0,771.0,155.0,53.0,3.69,907,14238204
1985,New York Mets,NYN,NYM,98,64,1425,134,546.0,872.0,117.0,53.0,3.11,1039,10834762
1985,Oakland Athletics,OAK,OAK,77,85,1475,155,508.0,861.0,117.0,58.0,4.41,785,9058606
1985,Philadelphia Phillies,PHI,PHI,75,87,1343,141,527.0,1095.0,122.0,51.0,3.68,899,10124966
1985,Pittsburgh Pirates,PIT,PIT,57,104,1340,80,514.0,842.0,110.0,60.0,3.97,962,9227500
